Country Name,Country Code,GDP_2011,GDP_2012,GDP_2013,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,GDP_2021
Georgia,GEO,4119.66818307193,4530.69533409431,4712.00229382665,4830.33486170249,4086.6223465965,4143.40125686315,4418.75206546679,4804.0546040444,4741.2832715876,4300.85701291207,5083.60695484577
Ghana,GHA,1507.43573198753,1543.77524235764,2294.025645187,1953.64513603117,1721.69964380717,1913.18673253576,2012.97025750655,2196.61290615342,2186.18924111824,2196.54789313621,2445.50081810782
Gibraltar,GIB,,,,,,,,,,,
Guinea,GIN,636.694958747648,699.353377212197,748.455020824734,765.146999389279,747.356966759448,711.996509782316,833.598621691121,933.273615633705,1031.34146480732,1053.66097696415,1244.96550477914
"Gambia, The",GMB,710.608411468152,692.579361628102,653.862713272743,568.00453558864,619.536364296461,650.056501323611,642.522641296331,696.219806960615,738.186751987483,720.335143352133,781.890925169531
Guinea-Bissau,GNB,719.539573498937,635.461653303881,654.304534409417,652.022501029449,645.066837207039,679.665386626818,783.123186602022,808.531613218504,807.359903965493,817.780335749159,900.407780831491
Equatorial Guinea,GNQ,17198.2136668275,17308.5723924575,16304.0713196418,15548.6624656619,9068.91003238645,7453.19797948517,7809.10465655488,8102.47084834031,6804.14923073888,5764.05502912947,6945.63069794539
Greece,GRC,25504.7866510124,21624.346052551,21573.3449762805,21474.7257123892,17980.7298238137,17919.2426377048,18631.9930129293,19873.4015238771,19335.3602002969,17886.733165236,20654.7001960815
Grenada,GRD,6947.38136096464,7092.71985352677,7424.80212287327,7986.33421210788,8694.12438005692,9221.23461079424,9751.42661155932,10083.021279225,10462.7929159533,8968.55890108484,9622.24050459345
Greenland,GRL,47186.8759969388,45936.9562817724,47535.4883792376,50485.2244135291,44536.3549705377,48181.7453541266,50765.7494665372,54545.135857765,53309.2035905065,54693.0766804265,57116.295770722
Guatemala,GTM,3168.98370607705,3286.61959336267,3444.15971843874,3689.14472473545,3893.50521848131,4060.13755621218,4324.99607911366,4352.94651790253,4511.99755157656,4477.61761796418,4913.94712869347
Guam,GUM,29926.2052442913,31653.7506538168,32530.7593121483,33900.1486530583,35165.7014644795,35930.6594898711,36779.0078903909,37195.9503070464,39274.9431424899,36482.9363953675,38074.8793745801
Guyana,GUY,4947.22170589917,5444.39751913913,5556.91231156932,5472.68820452237,5640.41560569466,5870.87823759835,6178.6650437298,6048.38697180418,6405.82443444562,6775.70939096303,9860.87233445443
High income,HIC,38853.6505551505,38757.333549902,39073.8403373506,39502.0829505689,36650.4490056998,37140.5595822096,38873.8613987597,41180.3426854104,41457.3871652811,40262.8698752887,45229.2753341398
"Hong Kong SAR, China",HKG,35142.4879344543,36730.796195815,38403.7777145477,40315.3739510191,42432.1619740441,43734.1980702999,46160.429791493,48537.5668888343,48359.0011950597,46109.2299946609,49770.5642374739
Honduras,HND,2073.66121088074,2126.03474686503,2081.12843527945,2179.88171977271,2271.20265980349,2307.34468351082,2413.0076562942,2464.64241531918,2502.32744328073,2307.61494319511,2735.14751503977
Heavily indebted poor countries (HIPC),HPC,861.349226790284,868.154967280185,947.074489712364,974.252131612265,909.494352340789,893.010597521193,931.787880001889,968.18729528141,976.312547557857,959.181737577661,1040.03410722444
Croatia,HRV,14694.9993201417,13508.6836989693,14136.3967669505,14187.9694531493,12285.3032582105,12821.1738140304,13902.6310485422,15460.4183295843,15563.8167397199,14808.4620188819,17789.9304736722
Haiti,HTI,1312.03953552013,1361.39396587374,1457.83221179626,1460.18898613914,1411.12684746796,1318.40268167953,1395.23945184461,1496.38048970156,1352.17204191532,1290.32538667383,1835.44394078496
Hungary,HUN,14234.471576937,12984.8365730133,13715.0703590361,14294.2584180751,12717.038597002,13104.6995457458,14621.2395956755,16425.2050299693,16786.2136399075,16131.9540355923,18755.1023464312
IBRD only,IBD,5311.68710845423,5583.76223642553,5827.57315536311,5959.31801743295,5525.00490743408,5513.07715328885,6032.45731643701,6376.20637613021,6459.05649734705,6171.87965743072,7289.99204765957
IDA & IBRD total,IBT,4299.30668600632,4504.30020456011,4699.59848026348,4807.8107682246,4458.11083061724,4431.30440041701,4816.55669747848,5071.47780601742,5125.36118877249,4884.2624249805,5707.61064306399
IDA total,IDA,1219.25831669685,1257.6289139483,1340.12885949432,1413.48701723574,1346.69693190726,1313.25207885782,1354.977107485,1405.59717231873,1430.29036966118,1370.26257847044,1460.26675489479
IDA blend,IDB,1710.78560509619,1858.02047371817,1976.24837246876,2099.6785212584,1953.90145153229,1787.03439986924,1796.8728729754,1856.81876322366,1865.35605450935,1713.86457937643,1827.96310627066
Indonesia,IDN,3579.46442452684,3632.272540431,3566.60284506078,3441.06808455308,3288.22269737572,3521.46943456251,3798.88326177649,3860.95353077708,4106.94856173421,3853.70288778903,4287.17313989405
IDA only,IDX,968.34519375484,950.907162941154,1014.87983161624,1062.79330233719,1036.87089667356,1072.25258983136,1130.91814340942,1177.52764226474,1211.19958978076,1197.82655626131,1276.2327161945
Isle of Man,IMN,77808.8579649376,79329.2034347434,83207.6588430451,91885.4528718026,84753.5187422732,82025.9454509241,83481.3038489014,89393.8244248812,87127.5517977404,79513.5330346598,94299.969348965
India,IND,1445.46127486037,1429.32199520032,1432.84397512195,1553.88396075118,1583.99815907985,1707.50892912243,1950.10468280866,1966.25455171679,2041.42863698585,1907.04251637669,2239.61384367482
Not classified,INX,,,,,,,,,,,
