Code,Year,HealthSystem_Score
GNQ,2017,60
ERI,2017,80
EST,2017,40
SWZ,2017,60
ETH,2017,100
FRA,2017,60
GAB,2017,20
GMB,2017,0
GEO,2017,40
DEU,2017,60
GHA,2017,40
GTM,2017,60
GIN,2017,100
GNB,2017,40
GUY,2017,100
HND,2017,60
HUN,2017,0
ISL,2017,60
IND,2017,100
IDN,2017,100
IRN,2017,100
IRQ,2017,100
JPN,2017,100
JOR,2017,80
KEN,2017,80
KWT,2017,60
LVA,2017,40
LBN,2017,60
LSO,2017,20
LBR,2017,80
LBY,2017,60
LIE,2017,0
